fold,model,weighting_method,train_start,train_end,test_start,test_end,factor_weights,OOS_return,annualized_return,volatility,Sharpe,max_drawdown,turnover,transaction_cost,benchmark_return,annualized_excess_return,information_ratio,tracking_error,beta,jensen_alpha
2,Model_A,rolling_icir_weight,2019-02-18,2022-03-25,2022-03-28,2022-09-28,"{""volatility_20"": 0.1486618906622754, ""volume_change_20"": -0.8513381093377246}",-0.11988984571195394,-0.2254061163190717,0.27409493051195327,-0.7936240148346618,-0.23006642537847377,57.200920531034654,0.05720092053103468,-0.08284925153967948,-0.06300071777074906,-0.19568486063222496,0.321949881902996,0.11360469168047216,-0.19997325868237606
3,Model_A,rolling_icir_weight,2019-08-20,2022-09-28,2022-09-29,2023-04-10,"{""volatility_20"": 0.273935468102183, ""volume_change_20"": -0.726064531897817}",0.014385235968602306,0.02897740695107709,0.16143175277096938,0.25718255354414055,-0.11268228763035038,60.06313481914504,0.06006313481914506,0.07211306157948782,-0.11223896798431571,-0.4866982259851221,0.230613061629994,0.03685582382231841,0.03585061167031037
4,Model_A,rolling_icir_weight,2020-03-02,2023-04-10,2023-04-11,2023-10-18,"{""volatility_20"": 0.34600952392751355, ""volume_change_20"": -0.6539904760724865}",-0.09921202242523308,-0.1885810194567612,0.14994500778450276,-1.3187690550913709,-0.10163214928723441,59.92351889112454,0.059923518891124516,-0.12040264957452318,0.04920702433546543,0.23867180141727593,0.20617024735752318,-0.021654806725180425,-0.20309048773302776
5,Model_A,rolling_icir_weight,2020-09-02,2023-10-18,2023-10-19,2024-04-24,"{""volatility_20"": 0.3961779942930664, ""volume_change_20"": -0.6038220057069336}",-0.14886097710284885,-0.27556236370168286,0.2783968143690955,-1.017635524660059,-0.28801761459683717,53.67240528199434,0.05367240528199434,-0.024638700707364403,-0.24435438395311335,-0.8181305457365335,0.29867407497067583,0.23539476673101795,-0.27413736674855077
6,Model_A,rolling_icir_weight,2021-03-15,2024-04-24,2024-04-25,2024-11-01,"{""volatility_20"": 0.4112128954786645, ""volume_change_20"": -0.5887871045213355}",0.12965981157530648,0.276131289888357,0.28511418333990846,0.9960683189654107,-0.20530140554800125,52.45834875971863,0.05245834875971863,0.10461094609866994,0.05496875566801032,0.15440465306134712,0.3560045282195639,0.12882310813465378,0.25448956387053673
7,Model_A,rolling_icir_weight,2021-09-14,2024-11-01,2024-11-04,2025-05-13,"{""volatility_20"": 0.35544356844382835, ""volume_change_20"": -0.6445564315561716}",0.06163686142365732,0.12707282553347388,0.2838847128685104,0.5679055352786843,-0.20827221649972705,56.56256993835942,0.05656256993835942,0.0016041048632153831,0.14117625864173425,0.4823936690405523,0.2926577766298718,0.4244087392400103,0.15271308821894095
8,Model_A,rolling_icir_weight,2022-03-28,2025-05-13,2025-05-14,2025-11-14,"{""volatility_20"": 0.33882608936651315, ""volume_change_20"": -0.6611739106334868}",0.2345753625438638,0.5241763258003127,0.14052081010925732,3.0715886257795173,-0.06025196120053078,55.52369843527738,0.05552369843527738,0.18784167381026795,0.07773515177837009,0.37665513384065097,0.20638282820076204,-0.1040042780754312,0.46842788087687987
9,Model_A,rolling_icir_weight,2022-09-29,2025-11-14,2025-11-17,2025-12-24,"{""volatility_20"": 0.2816029767881191, ""volume_change_20"": -0.7183970232118808}",-0.03821041866308361,-0.2957601212097807,0.18411431918605414,-1.8136956112033293,-0.06649506678728767,13.879023233760076,0.013879023233760073,0.0012791315733753361,-0.35440065164352025,-1.491717132932932,0.23757899123054066,-0.10766814306134438,-0.3317230084309777
0,Model_B,equal_weight,2018-01-30,2021-03-15,2021-03-16,2021-09-14,"{""volatility_20"": 1.0}",0.11151550977701197,0.23546672847485084,0.13211346910224936,1.6667267001410693,-0.07832951790306919,9.23169855302162,0.009231698553021616,-0.0235088987477019,0.25152060189363407,1.1810438528300216,0.212964659433212,0.07332914047261026,0.22249397580180352
1,Model_B,equal_weight,2018-08-08,2021-09-14,2021-09-15,2022-03-28,"{""volatility_20"": 1.0}",0.01368647702239878,0.027560273698082227,0.2052540325385792,0.2352612160027947,-0.16174187662282324,10.891594829901281,0.010891594829901279,-0.15632804301670122,0.3721850912195595,1.4416836016592505,0.25816003649566893,0.11508611951152903,0.08556433657933643
