factor_name,variant,scope,horizon,mean_ic,mean_rank_ic,ic_std,rank_ic_std,icir,rank_icir,positive_ic_ratio,t_stat,p_value,observations,Q5-Q1,monotonicity
momentum_60,raw,full,5,-0.028063144643726452,-0.05168753204194955,0.17213454990333663,0.16747898450885249,-0.16303028450410165,-0.3086210021724695,0.43153969099627065,-7.0631824180125475,1.6273649094955545e-12,1877,-0.004519359427401985,0.0
momentum_60,raw,full,10,-0.03503642237379923,-0.06305842920458736,0.16551361601497225,0.16178054501210332,-0.21168302171967449,-0.3897775792501488,0.4027777777777778,-9.158807867465324,0.0,1872,-0.008601761303766465,0.0
momentum_60,raw,full,20,-0.03957830507366773,-0.06879075098565432,0.16255046188999284,0.15948042155422984,-0.24348319047196942,-0.4313429216906268,0.39473684210526316,-10.506518321830795,0.0,1862,-0.013583476616303915,0.0
momentum_60,raw,full,40,-0.04153670621364647,-0.06910928248783937,0.14899288482432738,0.15104421256010542,-0.278783153052047,-0.4575433994886665,0.40553745928338764,-11.964962411810195,0.0,1842,-0.0133268301311858,0.0
momentum_60,remove_bottom_20pct_ADV20,full,1,-0.010054743635201542,-0.032485647480072107,0.19368200126712345,0.18383367019423608,-0.05191367070466286,-0.17671217381314439,0.4960042621204049,-2.2491264570322373,0.024504451732636046,1877,-0.0008783829312598875,0.0
momentum_60,remove_bottom_20pct_ADV20,full,5,-0.028712972378319223,-0.053239912203637184,0.18085769907901078,0.17333109576828346,-0.1587600225178994,-0.3071573047389639,0.43153969099627065,-6.878176058776927,6.062261803663205e-12,1877,-0.004892229555368909,0.0
momentum_60,remove_bottom_20pct_ADV20,full,10,-0.03393796566896059,-0.06479272083097136,0.1757275546195691,0.16701074446853828,-0.19312831014141502,-0.3879554039301771,0.3958333333333333,-8.356008299503006,0.0,1872,-0.008204838913163622,0.0
momentum_60,remove_bottom_20pct_ADV20,full,20,-0.03588054080561067,-0.07078540940988579,0.17337499573717868,0.16514823490677685,-0.20695337671415104,-0.4286174142269389,0.41729323308270677,-8.930224053648985,0.0,1862,-0.012064190887321823,0.0
momentum_60,remove_bottom_20pct_ADV20,full,40,-0.03950037759513176,-0.07140980778417869,0.15730338415394154,0.1558898838780049,-0.25110952194439484,-0.4580785231712792,0.4153094462540717,-10.777250914984048,0.0,1842,-0.013266380833741348,0.0
momentum_60,remove_extreme_1pct_each_tail,full,1,-0.009150963855664353,-0.03150405461729901,0.1739815346571915,0.17397019535706312,-0.052597328065275235,-0.1810888040485261,0.49014384656366544,-2.278745473303418,0.022682199906806755,1877,-0.0005825223833086923,0.25
momentum_60,remove_extreme_1pct_each_tail,full,5,-0.023966097561729106,-0.04753285339296806,0.1622633619635952,0.16639223429444558,-0.1476987612712354,-0.28566749881400433,0.44645711241342567,-6.3989540160986245,1.564450791136096e-10,1877,-0.0038222809110021543,0.0
momentum_60,remove_extreme_1pct_each_tail,full,10,-0.027491157798717268,-0.058103291534415714,0.15483099857304602,0.16007371279884136,-0.17755590322404022,-0.36297834615376195,0.4204059829059829,-7.682242960027186,1.554312234475219e-14,1872,-0.006836594397497662,0.0
momentum_60,remove_extreme_1pct_each_tail,full,20,-0.030070095696084907,-0.06283995989452701,0.15547182172257148,0.15880002368921098,-0.19341186951383946,-0.39571757254590645,0.42910848549946295,-8.345895857400642,0.0,1862,-0.010756101481103763,0.0
momentum_60,remove_extreme_1pct_each_tail,full,40,-0.0263285614998406,-0.06101398794843551,0.1474709222723474,0.1523118594446695,-0.17853391769814358,-0.40058593054338054,0.42779587404994573,-7.662412850652769,1.8207657603852567e-14,1842,-0.008023241049752003,0.25
momentum_60,raw,2018,5,-0.046317394567156805,-0.012115398509460844,0.17248834075322814,0.16486084949935823,-0.26852478471818086,-0.07348863327013251,0.3825136612021858,-3.6325359573518337,0.00028064945324590695,183,-0.007412943806134228,0.5
momentum_60,raw,2019,5,-0.021481668571404808,-0.061836399354480785,0.14387962109572758,0.13982200235953168,-0.14930306604791785,-0.44225084973019907,0.4180327868852459,-2.33218844642524,0.019690779709110595,244,-0.004967655778802112,0.0
momentum_60,raw,2020,5,0.013234605369682847,-0.02350629266110306,0.16962466056589198,0.16120669705124227,0.0780228849126673,-0.14581461621058575,0.5432098765432098,1.216256407396551,0.22388726198502695,243,0.0014715970913710753,0.75
momentum_60,raw,2021,5,-0.034965176937746666,-0.0643146930754912,0.20452995046662972,0.19047934206958306,-0.17095382293876535,-0.3376465519919568,0.3868312757201646,-2.6649063637026784,0.007700976204147558,243,-0.006260630767202588,0.25
momentum_60,raw,2022,5,-0.03693733519548259,-0.04424632102816415,0.15900465883242645,0.15499368524577165,-0.2323034775629468,-0.2854717658851926,0.4462809917355372,-3.613794014115487,0.0003017488219247966,242,-0.004789186904389375,0.25
momentum_60,raw,2023,5,-0.014935342543878176,-0.025265065993035137,0.1695525087185502,0.1496146822440664,-0.08808682724164345,-0.16886755774289744,0.4628099173553719,-1.3703094432670275,0.17059032649600248,242,0.0010981270349467687,0.5
momentum_60,raw,2024,5,-0.07562286002579857,-0.09629555038214199,0.17918421253444758,0.21512013621322518,-0.42203974868187855,-0.44763615381265237,0.33884297520661155,-6.565397700910897,5.189404461702907e-11,242,-0.013173545394590362,0.0
momentum_60,raw,2025,5,-0.011859088776697533,-0.07666604994711623,0.16079122872367205,0.13250194318780645,-0.07375457523916297,-0.5786032121691289,0.46218487394957986,-1.137830169117002,0.2551914047417392,238,-0.00281172798974878,0.25
momentum_120,raw,full,1,-0.007219626190953915,-0.025735626100089767,0.17990121179557694,0.17030189148881877,-0.0401310592568861,-0.1511176762342622,0.4810126582278481,-1.7106378878458823,0.0871479802509183,1817,-0.0006307122855425461,0.0
momentum_120,raw,full,5,-0.020865198225047607,-0.03876795807663339,0.17490558968401884,0.16930933757447125,-0.11929406180066791,-0.22897708202054232,0.45844799119427626,-5.085062435181908,3.675051554186126e-07,1817,-0.0031597237183488844,0.0
momentum_120,raw,full,10,-0.02747396470911749,-0.04844673246709587,0.17017759106427024,0.1702723355590055,-0.16144290524562377,-0.2845249776368242,0.4310154525386313,-6.872235932890779,6.320277634586091e-12,1812,-0.00604787006017557,0.25
momentum_120,raw,full,20,-0.03185286346131983,-0.05490810127376949,0.16862567950122137,0.17254099601031053,-0.1888968723834801,-0.31823220303242217,0.4223085460599334,-8.018666670342514,1.1102230246251565e-15,1802,-0.00840707668346244,0.25
momentum_120,raw,full,40,-0.0362516255276487,-0.06238145347489314,0.1632085454193039,0.16489803140292583,-0.22211842789550984,-0.37830320316235316,0.39281705948372614,-9.376449972734731,0.0,1782,-0.010904551922587238,0.25
