test,factor_name,variant,horizon,mean_ic,mean_rank_ic,ic_std,rank_ic_std,icir,rank_icir,positive_ic_ratio,t_stat,p_value,observations,Q5-Q1,monotonicity,robustness_conclusion
window_preprocess,volatility_20,percentile_rank,10,0.02173890662187812,0.07256767430169726,0.15887022738142162,0.17977558745442263,0.13683436462696397,0.40365699998112864,0.5434100418410042,5.983277201631038,2.186921088664917e-09,1912,0.002892101762742873,0.75,ROBUST
window_preprocess,volatility_20,percentile_rank,20,0.02513231254485249,0.07881341972327251,0.16135340402752932,0.1803505275050009,0.15575941949489047,0.4370013263259632,0.5494216614090431,6.79296811711602,1.0984990694851149e-11,1902,0.004522526253207464,0.5,ROBUST
window_preprocess,volatility_20,percentile_rank,40,0.029658248926779304,0.08975957394913706,0.1571767735251463,0.1711840555521601,0.188693585328206,0.5243454109064916,0.5302869287991498,8.185909633573559,2.220446049250313e-16,1882,0.0065655864385310275,0.25,ROBUST
window_preprocess,volatility_40,mad_zscore,1,0.001573250469966193,0.039943640374293335,0.17975313037092322,0.1982542877776747,0.008752284128347403,0.20147680447187466,0.5044807590933053,0.3812019146698001,0.7030534284947056,1897,8.876231038134994e-05,0.5,ROBUST
window_preprocess,volatility_40,mad_zscore,5,0.013528651061593885,0.05984649550714281,0.17288059717838813,0.1917754967510057,0.07825430547092711,0.31206539167433534,0.5255666842382709,3.4083321152766812,0.0006536129080025876,1897,0.0009721640351598897,0.5,ROBUST
window_preprocess,volatility_40,mad_zscore,10,0.01955402187455878,0.06891223776410811,0.16890080413529934,0.18990337281605998,0.11577222485509824,0.3628805362549109,0.5391120507399577,5.035759091400791,4.759588592140318e-07,1892,0.0020790362411029135,0.5,ROBUST
window_preprocess,volatility_40,mad_zscore,20,0.02499139705829423,0.079542283766183,0.17361146293584206,0.19181045103507335,0.14395015533928066,0.4146921261951381,0.5340063761955367,6.244849083219394,4.2420955637112456e-10,1882,0.00227973094256352,0.5,ROBUST
window_preprocess,volatility_40,mad_zscore,40,0.027775040154979735,0.08976394078560494,0.17053258492441442,0.18329275410268833,0.16287233414828337,0.4897298926247537,0.5128893662728249,7.0280874812394405,2.0938806244430452e-12,1862,0.002024286639448166,0.5,ROBUST
window_preprocess,volatility_40,percentile_zscore,1,0.0006136089850082036,0.04003139735851214,0.19229274761462903,0.1984906204986405,0.0031910147034662378,0.20167903782025973,0.5123879810226674,0.13898325247017518,0.8894633831910428,1897,8.876231038134994e-05,0.5,ROBUST
window_preprocess,volatility_40,percentile_zscore,5,0.011991173561129822,0.0599117996476872,0.1829575276076936,0.19203067320267908,0.06554074991022986,0.31199078068352754,0.52925672113864,2.854598752542058,0.004309123264335302,1897,0.0009721640351598897,0.5,ROBUST
