date,factor_name,window,rolling_mean_rank_ic
2024-10-29,momentum_20,60,-0.08218612152072778
2024-10-30,momentum_20,60,-0.08095424239227617
2024-10-31,momentum_20,60,-0.08146516755430451
2024-11-01,momentum_20,60,-0.07977999762896208
2024-11-04,momentum_20,60,-0.07526391973840421
2024-11-05,momentum_20,60,-0.07514041169688432
2024-11-06,momentum_20,60,-0.07693197003920328
2024-11-07,momentum_20,60,-0.07878462065573787
2024-11-08,momentum_20,60,-0.08418088969012417
2024-11-11,momentum_20,60,-0.0897009449736876
2024-11-12,momentum_20,60,-0.09492826928637203
2024-11-13,momentum_20,60,-0.09653035473579136
2024-11-14,momentum_20,60,-0.09550711639135565
2024-11-15,momentum_20,60,-0.09334957478662094
2024-11-18,momentum_20,60,-0.09243817652282703
2024-11-19,momentum_20,60,-0.0895688161012753
2024-11-20,momentum_20,60,-0.0904211625493984
2024-11-21,momentum_20,60,-0.09051167263933155
2024-11-22,momentum_20,60,-0.09153225654502188
2024-11-25,momentum_20,60,-0.09181534647794563
2024-11-26,momentum_20,60,-0.09148326942713302
2024-11-27,momentum_20,60,-0.09391516522049122
2024-11-28,momentum_20,60,-0.09187218415659607
2024-11-29,momentum_20,60,-0.08902591715441531
2024-12-02,momentum_20,60,-0.08583845505889674
2024-12-03,momentum_20,60,-0.08715859616828331
2024-12-04,momentum_20,60,-0.08456625179675631
2024-12-05,momentum_20,60,-0.08716810467239955
2024-12-06,momentum_20,60,-0.08664467313466293
2024-12-09,momentum_20,60,-0.08770937871106858
2024-12-10,momentum_20,60,-0.09202829396212876
2024-12-11,momentum_20,60,-0.0939414166991722
2024-12-12,momentum_20,60,-0.09513776014242366
2024-12-13,momentum_20,60,-0.09908185705406838
2024-12-16,momentum_20,60,-0.10503655751676254
2024-12-17,momentum_20,60,-0.10514582709784379
2024-12-18,momentum_20,60,-0.10521168711505448
2024-12-19,momentum_20,60,-0.10283465434745093
2024-12-20,momentum_20,60,-0.10057013487965269
2024-12-23,momentum_20,60,-0.09508720703934373
2024-12-24,momentum_20,60,-0.09316674318398238
2024-12-25,momentum_20,60,-0.09426269763428848
2024-12-26,momentum_20,60,-0.09681721846785434
2024-12-27,momentum_20,60,-0.09954241026379967
2024-12-30,momentum_20,60,-0.10433118033481208
2024-12-31,momentum_20,60,-0.09835809158116884
2025-01-02,momentum_20,60,-0.09400423732914666
2025-01-03,momentum_20,60,-0.09296871258070821
2025-01-06,momentum_20,60,-0.0990214591196685
2025-01-07,momentum_20,60,-0.10783129422532019
2025-01-08,momentum_20,60,-0.11605716692059098
2025-01-09,momentum_20,60,-0.12313457349832653
2025-01-10,momentum_20,60,-0.12738616752576384
2025-01-13,momentum_20,60,-0.12894024901758375
2025-01-14,momentum_20,60,-0.1227859271511429
2025-01-15,momentum_20,60,-0.11855708535790653
2025-01-16,momentum_20,60,-0.11573876658111364
2025-01-17,momentum_20,60,-0.11508332023916543
2025-01-20,momentum_20,60,-0.11020441784548117
2025-01-21,momentum_20,60,-0.10934078323085192
2025-01-22,momentum_20,60,-0.11095655434113537
2025-01-23,momentum_20,60,-0.11353586257072991
2025-01-24,momentum_20,60,-0.11312278665913482
2025-01-27,momentum_20,60,-0.11652353795850061
2025-02-05,momentum_20,60,-0.11680046514757601
2025-02-06,momentum_20,60,-0.11507605538702241
2025-02-07,momentum_20,60,-0.11219598357740365
2025-02-10,momentum_20,60,-0.1050148617725339
2025-02-11,momentum_20,60,-0.10046703762147155
2025-02-12,momentum_20,60,-0.09427726347507684
2025-02-13,momentum_20,60,-0.08659820472672712
2025-02-14,momentum_20,60,-0.07998109675601967
2025-02-17,momentum_20,60,-0.07710967494776094
2025-02-18,momentum_20,60,-0.07609695131984617
2025-02-19,momentum_20,60,-0.07675865785623051
2025-02-20,momentum_20,60,-0.08164999373703104
2025-02-21,momentum_20,60,-0.0886501957218448
2025-02-24,momentum_20,60,-0.09483587817578747
2025-02-25,momentum_20,60,-0.0998283382951956
2025-02-26,momentum_20,60,-0.10422618345556187
2025-02-27,momentum_20,60,-0.10380031874074448
2025-02-28,momentum_20,60,-0.10014267178900432
2025-03-03,momentum_20,60,-0.09925778056188396
2025-03-04,momentum_20,60,-0.10036000503887585
2025-03-05,momentum_20,60,-0.10542216289594995
2025-03-06,momentum_20,60,-0.10923657131562557
2025-03-07,momentum_20,60,-0.11469464046497443
2025-03-10,momentum_20,60,-0.11697125314505054
2025-03-11,momentum_20,60,-0.12245091562156156
2025-03-12,momentum_20,60,-0.12387558266584221
2025-03-13,momentum_20,60,-0.12390850657489975
2025-03-14,momentum_20,60,-0.1222507716278647
2025-03-17,momentum_20,60,-0.12004960694853484
2025-03-18,momentum_20,60,-0.11961341184809621
2025-03-19,momentum_20,60,-0.11249461798415546
2025-03-20,momentum_20,60,-0.11007992240003528
2025-03-21,momentum_20,60,-0.10872339208872653
2025-03-24,momentum_20,60,-0.11047944180083334
2025-03-25,momentum_20,60,-0.11185666019056703
2025-03-26,momentum_20,60,-0.11615836425954575
2025-03-27,momentum_20,60,-0.11525490020593224
2025-03-28,momentum_20,60,-0.109790671753733
2025-03-31,momentum_20,60,-0.10414139553637121
2025-04-01,momentum_20,60,-0.09917759344607814
2025-04-02,momentum_20,60,-0.09358567312550022
2025-04-03,momentum_20,60,-0.08850937319454752
2025-04-07,momentum_20,60,-0.09173163438384001
2025-04-08,momentum_20,60,-0.09525273545748747
2025-04-09,momentum_20,60,-0.09519000898010845
2025-04-10,momentum_20,60,-0.09091908302564995
2025-04-11,momentum_20,60,-0.08534493256883977
2025-04-14,momentum_20,60,-0.08227316306575921
2025-04-15,momentum_20,60,-0.07758895081219008
2025-04-16,momentum_20,60,-0.07878734926348338
2025-04-17,momentum_20,60,-0.0835037839170434
2025-04-18,momentum_20,60,-0.08931889081806962
2025-04-21,momentum_20,60,-0.09206711424029909
2025-04-22,momentum_20,60,-0.09626347041057509
2025-04-23,momentum_20,60,-0.09965111598875463
2025-04-24,momentum_20,60,-0.1058784772712306
2025-04-25,momentum_20,60,-0.1092684036646794
2025-04-28,momentum_20,60,-0.11464208701135921
2025-04-29,momentum_20,60,-0.11779579556532135
2025-04-30,momentum_20,60,-0.12046159697318082
2025-05-06,momentum_20,60,-0.1246291393906856
2025-05-07,momentum_20,60,-0.1267994847047837
2025-05-08,momentum_20,60,-0.12874135670425957
2025-05-09,momentum_20,60,-0.13101454394837764
2025-05-12,momentum_20,60,-0.12951949713593514
2025-05-13,momentum_20,60,-0.1291015482819471
2025-05-14,momentum_20,60,-0.13150286445136353
2025-05-15,momentum_20,60,-0.1346970068436825
2025-05-16,momentum_20,60,-0.13682307844554256
2025-05-19,momentum_20,60,-0.1397622936303048
2025-05-20,momentum_20,60,-0.14005321167461726
2025-05-21,momentum_20,60,-0.13443776391620835
2025-05-22,momentum_20,60,-0.12536515156365163
2025-05-23,momentum_20,60,-0.11773885219289557
2025-05-26,momentum_20,60,-0.10918142247164828
2025-05-27,momentum_20,60,-0.10409545660937083
2025-05-28,momentum_20,60,-0.10483587829238504
2025-05-29,momentum_20,60,-0.1080041101003387
2025-05-30,momentum_20,60,-0.10830263942075648
2025-06-03,momentum_20,60,-0.10776479497408206
2025-06-04,momentum_20,60,-0.10812409807937474
2025-06-05,momentum_20,60,-0.10041726045746836
2025-06-06,momentum_20,60,-0.09268099855120086
2025-06-09,momentum_20,60,-0.0876979746704765
2025-06-10,momentum_20,60,-0.0848184492405663
2025-06-11,momentum_20,60,-0.08401818980401494
2025-06-12,momentum_20,60,-0.086476542542987
2025-06-13,momentum_20,60,-0.09048052963105915
2025-06-16,momentum_20,60,-0.09239111937897805
2025-06-17,momentum_20,60,-0.09331499976948734
2025-06-18,momentum_20,60,-0.09843766656948119
2025-06-19,momentum_20,60,-0.10284320187173822
2025-06-20,momentum_20,60,-0.10675998873539524
2025-06-23,momentum_20,60,-0.10760199315056317
2025-06-24,momentum_20,60,-0.10419124587470273
2025-06-25,momentum_20,60,-0.1010456626757714
2025-06-26,momentum_20,60,-0.10174924940933434
2025-06-27,momentum_20,60,-0.10392058332314964
2025-06-30,momentum_20,60,-0.10938674480014449
